"Notes"	"Age Group"	"Age Group Code"	"Race"	"Race Code"	"Gender"	"Gender Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"85+ years"	"85+"	"Black or African American"	"2054-5"	"Male"	"M"	"1988"	"1988"	10818	65382	16545.8
	"85+ years"	"85+"	"Black or African American"	"2054-5"	"Male"	"M"	"1989"	"1989"	11056	66363	16659.9
	"85+ years"	"85+"	"Black or African American"	"2054-5"	"Male"	"M"	"1990"	"1990"	11236	66270	16954.9
	"85+ years"	"85+"	"Black or African American"	"2054-5"	"Male"	"M"	"1991"	"1991"	11498	68984	16667.6
	"85+ years"	"85+"	"Black or African American"	"2054-5"	"Male"	"M"	"1992"	"1992"	11646	71367	16318.5
	"85+ years"	"85+"	"Black or African American"	"2054-5"	"Male"	"M"	"1993"	"1993"	12671	73429	17256.1
	"85+ years"	"85+"	"Black or African American"	"2054-5"	"Male"	"M"	"1994"	"1994"	12424	75187	16524.1
	"85+ years"	"85+"	"Black or African American"	"2054-5"	"Male"	"M"	"1995"	"1995"	13250	77868	17016.0
	"85+ years"	"85+"	"Black or African American"	"2054-5"	"Male"	"M"	"1996"	"1996"	13340	79645	16749.3
	"85+ years"	"85+"	"Black or African American"	"2054-5"	"Male"	"M"	"1997"	"1997"	13767	81293	16935.0
	"85+ years"	"85+"	"Black or African American"	"2054-5"	"Male"	"M"	"1998"	"1998"	13964	83616	16700.2
"Total"	"85+ years"	"85+"	"Black or African American"	"2054-5"	"Male"	"M"			217466	1338054	16252.4
"Total"	"85+ years"	"85+"	"Black or African American"	"2054-5"					618005	4472606	13817.6
	"85+ years"	"85+"	"White"	"2106-3"	"Female"	"F"	"1979"	"1979"	197373	1407000	14027.9
	"85+ years"	"85+"	"White"	"2106-3"	"Female"	"F"	"1980"	"1980"	215691	1439899	14979.6
	"85+ years"	"85+"	"White"	"2106-3"	"Female"	"F"	"1981"	"1981"	220183	1522433	14462.6
	"85+ years"	"85+"	"White"	"2106-3"	"Female"	"F"	"1982"	"1982"	223582	1587447	14084.4
	"85+ years"	"85+"	"White"	"2106-3"	"Female"	"F"	"1983"	"1983"	238733	1647150	14493.7
	"85+ years"	"85+"	"White"	"2106-3"	"Female"	"F"	"1984"	"1984"	246010	1702826	14447.2
	"85+ years"	"85+"	"White"	"2106-3"	"Female"	"F"	"1985"	"1985"	258930	1755561	14749.1
	"85+ years"	"85+"	"White"	"2106-3"	"Female"	"F"	"1986"	"1986"	264678	1806892	14648.2
	"85+ years"	"85+"	"White"	"2106-3"	"Female"	"F"	"1987"	"1987"	273368	1861948	14681.8
	"85+ years"	"85+"	"White"	"2106-3"	"Female"	"F"	"1988"	"1988"	286264	1905976	15019.3
	"85+ years"	"85+"	"White"	"2106-3"	"Female"	"F"	"1989"	"1989"	284856	1961458	14522.7
	"85+ years"	"85+"	"White"	"2106-3"	"Female"	"F"	"1990"	"1990"	288175	2001136	14400.6
	"85+ years"	"85+"	"White"	"2106-3"	"Female"	"F"	"1991"	"1991"	296531	2113777	14028.5
	"85+ years"	"85+"	"White"	"2106-3"	"Female"	"F"	"1992"	"1992"	301565	2195625	13734.8
	"85+ years"	"85+"	"White"	"2106-3"	"Female"	"F"	"1993"	"1993"	328566	2279874	14411.6
	"85+ years"	"85+"	"White"	"2106-3"	"Female"	"F"	"1994"	"1994"	334979	2351953	14242.6
	"85+ years"	"85+"	"White"	"2106-3"	"Female"	"F"	"1995"	"1995"	349084	2423216	14405.8
	"85+ years"	"85+"	"White"	"2106-3"	"Female"	"F"	"1996"	"1996"	358287	2490781	14384.5
	"85+ years"	"85+"	"White"	"2106-3"	"Female"	"F"	"1997"	"1997"	368037	2553020	14415.8
	"85+ years"	"85+"	"White"	"2106-3"	"Female"	"F"	"1998"	"1998"	380140	2621858	14498.9
"Total"	"85+ years"	"85+"	"White"	"2106-3"	"Female"	"F"			5715032	39629830	14421.0
	"85+ years"	"85+"	"White"	"2106-3"	"Male"	"M"	"1979"	"1979"	110591	617000	17924.0
	"85+ years"	"85+"	"White"	"2106-3"	"Male"	"M"	"1980"	"1980"	118549	620764	19097.3
	"85+ years"	"85+"	"White"	"2106-3"	"Male"	"M"	"1981"	"1981"	118475	636715	18607.2
	"85+ years"	"85+"	"White"	"2106-3"	"Male"	"M"	"1982"	"1982"	119069	649933	18320.2
	"85+ years"	"85+"	"White"	"2106-3"	"Male"	"M"	"1983"	"1983"	124677	662753	18812.0
	"85+ years"	"85+"	"White"	"2106-3"	"Male"	"M"	"1984"	"1984"	126344	675185	18712.5
	"85+ years"	"85+"	"White"	"2106-3"	"Male"	"M"	"1985"	"1985"	130583	688130	18976.5
	"85+ years"	"85+"	"White"	"2106-3"	"Male"	"M"	"1986"	"1986"	131147	703708	18636.6
	"85+ years"	"85+"	"White"	"2106-3"	"Male"	"M"	"1987"	"1987"	133284	720891	18488.8
	"85+ years"	"85+"	"White"	"2106-3"	"Male"	"M"	"1988"	"1988"	139042	731059	19019.3
	"85+ years"	"85+"	"White"	"2106-3"	"Male"	"M"	"1989"	"1989"	136813	750107	18239.1
	"85+ years"	"85+"	"White"	"2106-3"	"Male"	"M"	"1990"	"1990"	138807	759826	18268.3
	"85+ years"	"85+"	"White"	"2106-3"	"Male"	"M"	"1991"	"1991"	143266	797855	17956.4
	"85+ years"	"85+"	"White"	"2106-3"	"Male"	"M"	"1992"	"1992"	147419	826700	17832.2
	"85+ years"	"85+"	"White"	"2106-3"	"Male"	"M"	"1993"	"1993"	157645	859598	18339.4
	"85+ years"	"85+"	"White"	"2106-3"	"Male"	"M"	"1994"	"1994"	161104	890717	18087.0
	"85+ years"	"85+"	"White"	"2106-3"	"Male"	"M"	"1995"	"1995"	166772	923911	18050.7
	"85+ years"	"85+"	"White"	"2106-3"	"Male"	"M"	"1996"	"1996"	171449	956830	17918.4
	"85+ years"	"85+"	"White"	"2106-3"	"Male"	"M"	"1997"	"1997"	177227	993801	17833.2
	"85+ years"	"85+"	"White"	"2106-3"	"Male"	"M"	"1998"	"1998"	181696	1036235	17534.2
"Total"	"85+ years"	"85+"	"White"	"2106-3"	"Male"	"M"			2833959	15501718	18281.6
"Total"	"85+ years"	"85+"	"White"	"2106-3"					8548991	55131548	15506.5
"Total"	"85+ years"	"85+"							9166996	59604154	15379.8
"Total"									41256170	3740043238	1103.1
"---"
"Dataset: Compressed Mortality, 1979-1998"
"Query Parameters:"
"Age Group: 15-19 years; 20-24 years; 25-34 years; 35-44 years; 45-54 years; 55-64 years; 65-74 years; 75-84 years; 85+ years"
"Race: Black or African American; White"
"Group By: Age Group; Race; Gender; Year"
"Show Totals: True"
"Show Zero Values: False"
"Show Suppressed: False"
"Calculate Rates Per: 100,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/cmf.html for more information."
"---"
"Query Date: Jul 17, 2019 4:29:22 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. Compressed Mortality File"
"1979-1998. CDC WONDER On-line Database, compiled from Compressed Mortality File CMF 1968-1988, Series 20, No. 2A, 2000 and CMF"
"1989-1998, Series 20, No. 2E, 2003. Accessed at http://wonder.cdc.gov/cmf-icd9.html on Jul 17, 2019 4:29:22 PM"
"---"
Caveats:
"1. Population figures in this table for 1979 and 1981-89 are intercensal estimates of the July 1 resident population of the"
"United States. Note that the state and county population estimates for these years are not consistent with national estimates."
"The population figures in this table for 1980 and 1990 are modified age-race-sex (MARS) April 1 census counts. The population"
"figures for 1991-98 are bridged-race intercensal estimates of the July 1 resident population."
"2. Deaths of persons with Age ""Not Stated"" are included in ""All"" counts and rates, but are not distributed among age groups,"
"so are not included in age-specific counts, age-specific rates or in any age-adjusted rates. More information:"
"http://wonder.cdc.gov/wonder/help/cmf.html#Not Stated."
